Indicador de registro,Transacción,Documento,Otros datos para elaborar indicadores ,Ciudad,Años,Categorías,Concepto,Monto,Nota,Compañía,Referencias bibliográficas,Código documentos
IdI-43,Tra-118,[Doc. 58] Orden del Corregidor de Madrid sobre el precio de las entradas a los corrales dada el 21 de marzo de 1606.,"Según Davis y Varey “Cuando la Corte volvió a Madrid en 1606 el Corregidor mandó el 21 de marzo que se reestablecieran el precio anterior del asiento, 16 maravedís, y el cuarto del Hospital General”. ",Madrid,de 1606 (marzo) a 1606 (julio),Entradas a los corrales,Entrada a los corrales de Madrid para ver una comedia desde un asiento,16/17 de real [32 maravedís] ,X,X,"Información ubicada en Davis y Varey (1997, p. 20). Davis y Varey extraen el dato de Casiano Pellicer: Tratado histórico sobre el origen y progresos de la comedia y del histrionismo en España, tomo I, Madrid, Imprenta de la Administración del Real Arbitrio de Beneficencia, 1804, pp. 87-88. ",[Doc. 58]
IdI-44,Tra-119,[Doc. 59] Orden del Consejo de Castilla sobre el precio que deben tener las entradas a los corrales de Madrid a partir de julio de 1606,"Según Davis y Varey “Poco después [del regreso de la Corte a Madrid], se extendieron los beneficios del comercio teatral a otros dos Hospitales, el de la Corte (llamado también Hospital del Buen Suceso) y el de Antón Martín (o de San Juan de Dios), con el pago de otro cuarto adicional en la puerta. El consejo mandó que, a partir de julio de 1606, ‘de lo que daba cada persona de los que entraban a oír las comedias en los corrales de esta villa se repartiesen entre los dichos dos Hospitales cuatro maravedís, dando dos maravedís a cada uno’”. ",Madrid,de 1606 (julio) a 1608 (octubre),Entradas a los corrales,Entrada a los corrales de Madrid para ver una comedia de pie,10/17 de real [20 maravedís],X,X,"Información ubicada en Davis y Varey (1997, p. 20). Davis y Varey citan el libro de Varey y Norman Shergold: Teatros y comedias en Madrid: 1600-1650. Estudio y documentos, Londres, Tamesis Books, Fuentes para la Historia del Teatro en España III, 1971. Se trataría del documento referido en dicho libro como 34[c] en la página 85.  ",[Doc. 59]
IdI-45,Tra-120,[Doc. 59] Orden del Consejo de Castilla sobre el precio que deben tener las entradas a los corrales de Madrid a partir de julio de 1606,"Según Davis y Varey “Poco después [del regreso de la Corte a Madrid], se extendieron los beneficios del comercio teatral a otros dos Hospitales, el de la Corte (llamado también Hospital del Buen Suceso) y el de Antón Martín (o de San Juan de Dios), con el pago de otro cuarto adicional en la puerta. El consejo mandó que, a partir de julio de 1606, ‘de lo que daba cada persona de los que entraban a oír las comedias en los corrales de esta villa se repartiesen entre los dichos dos Hospitales cuatro maravedís, dando dos maravedís a cada uno’”. ",Madrid,de 1606 (julio) a 1608 (octubre),Entradas a los corrales,Entrada a los corrales de Madrid para ver una comedia desde un asiento,1 real y 1/17 de real [36 maravedís],X,X,"Información ubicada en Davis y Varey (1997, p. 20). Davis y Varey citan el libro de Varey y Norman Shergold: Teatros y comedias en Madrid: 1600-1650. Estudio y documentos, Londres, Tamesis Books, Fuentes para la Historia del Teatro en España III, 1971. Se trataría del documento referido en dicho libro como 34[c] en la página 85.  ",[Doc. 59]
IdI-46,Tra-121,[Doc. 60] Real provisión del 21 de octubre de 1608 sobre un cuarto adicional que se tendría que cobrar en los corrales de Madrid para costear una vivienda en el real palacio para la reina Margarita de Austria. ,"Según Davis y Varey “de acuerdo con una Real provisión del 21 de octubre de 1608, se empezó a cobrar otro cuarto adicional de cada persona, para costear una vivienda en el real palacio para la reina Margarita de Austria”. Hasta esta fecha se estaba cobrando a la entrada de los corrales 12 maravedís para los comediantes, 4 para el Hospital General y 4 para los hospitales del Buen Suceso y de San Juan de Dios. Es decir, se cobraba 20 maravedís la entrada para ver la comedia de pie. Esto ahora subiría a 24 maravedís. No cambia el precio del asiento, el cual en estas fechas estaba en 16 maravedís. ",Madrid,de 1608 (octubre) a 1615,Entradas a los corrales,Entrada a los corrales de Madrid para ver una comedia de pie,12/17 de real [24 maravedís],Se señala 1615 como fecha límite pues en este año cambia el sistema de gestión de los corrales. ,X,"Información ubicada en Davis y Varey (1997, p. 20). Davis y Varey citan el libro de Varey y Norman Shergold (compuesto con la colaboración de Davis): Los arriendos de los corrales de comedias de Madrid: 1587-1719. Estudio y documentos, Londres, Tamesis Books, Fuentes para la Historia del Teatro en España XIII, 1987. El documento se encontraría en la página 16, número 9. ",[Doc. 60]
IdI-47,Tra-122,[Doc. 60] Real provisión del 21 de octubre de 1608 sobre un cuarto adicional que se tendría que cobrar en los corrales de Madrid para costear una vivienda en el real palacio para la reina Margarita de Austria. ,"Según Davis y Varey “de acuerdo con una Real provisión del 21 de octubre de 1608, se empezó a cobrar otro cuarto adicional de cada persona, para costear una vivienda en el real palacio para la reina Margarita de Austria”. Hasta esta fecha se estaba cobrando a la entrada de los corrales 12 maravedís para los comediantes, 4 para el Hospital General y 4 para los hospitales del Buen Suceso y de San Juan de Dios. Es decir, se cobraba 20 maravedís la entrada para ver la comedia de pie. Esto ahora subiría a 24 maravedís. No cambia el precio del asiento, el cual en estas fechas estaba en 16 maravedís. ",Madrid,de 1608 (octubre) a 1616,Entradas a los corrales,Entrada a los corrales de Madrid para ver una comedia desde un asiento,1 real y 3/17 de real [40 maravedís],Se señala 1615 como fecha límite pues en este año cambia el sistema de gestión de los corrales. ,X,"Información ubicada en Davis y Varey (1997, p. 20). Davis y Varey citan el libro de Varey y Norman Shergold (compuesto con la colaboración de Davis): Los arriendos de los corrales de comedias de Madrid: 1587-1719. Estudio y documentos, Londres, Tamesis Books, Fuentes para la Historia del Teatro en España XIII, 1987. El documento se encontraría en la página 16, número 9. ",[Doc. 60]
IdI-48,Tra-123,[Doc. 61] Documentación sobre el precio del uso de los corrales de Madrid para representar en 1568,"Según Davis y Varey “cuando [Jerónimo] Velázquez empieza una serie de representaciones en el corral del Hospital de la Pasión en mayo de 1568, consta que ‘ha de dar seis reales cada día de los que representara”.",Madrid,1568,Uso de los corrales,Uso de corrales para representar,6 reales,X,X,"Información ubicada en Davis y Varey (1997, pp. 32 y 351). Davis y Varey extraen el dato de Casiano Pellicer: Tratado histórico sobre el origen y progresos de la comedia y del histrionismo en España, tomo I, Madrid, Imprenta de la Administración del Real Arbitrio de Beneficencia, 1804, pp. 48-49. Se trataría de un documento hoy perdido. Davis y Varey copian una nota de Pellicer: “esta noticia se lee en la hoja penúltima del libro original que se custodia en la Contaduría de los Reales Hospitales, y que en el lomo tiene este título: Libro de las Demandas que se hacen en la cofradía de la Sagrada Pasión desde 5. de Octubre de 1567. hasta 2. de Febrero de 1582”. ",[Doc. 61]
IdI-49,Tra-124,[Doc. 62] Documentación sobre el precio del uso de los corrales de Madrid para representar de la década de 1570  a 1602.,Según Davis y Varey los comediantes para 1579 pagaban diez reales a las cofradías de Madrid por cada representación que hacían en sus corrales. ,Madrid,de la década de 1570  a 1602,Uso de los corrales,Uso de corrales para representar,10 reales,"Se señala 1602 como fecha final porque este año, con el traslado de la corte a Valladolid, se cambia el precio que deben pagar los comediantes para representar en los corrales",X,"Información ubicada en Davis y Varey (1997, p. 32). David y Varey hacen referencia a su “Lista cronológica de representaciones en los corrales de comedias: 1579-1587”. Este documento, de cuya edición se ocupan, es el “Libro registro de los productos de comedias”. Producto de comedias para el Hospital de la Pasión del 30 de mayo de 1579 hasta el 27 de febrero de 1587. La ubicación del documento es, según señalan los mismos estudiosos: ARCM (Archivo Regional de la Comunidad de Madrid)/FD, 5084/2 [antes 34-E]. ",[Doc. 62]
IdI-50,Tra-125,[Doc. 63] Documentación sobre el precio del uso de los corrales de Madrid para representar de la década de 1602 a 1608.,"Según Davis y Varey, en 1602, por el traslado de la corte a Valladolid, los comediantes pasaron de pagar diez reales a las cofradías de Madrid por cada representación que hacían en sus corrales a pagar solo cinco reales. ",Madrid,de 1602 a 1608,Uso de los corrales,Uso de corrales para representar,5 reales ,X,X,"Información ubicada en Davis y Varey (1997, p. 32). David y Varey citan el libro de Cristóbal Pérez Pastor: Nuevos datos acerca del histrionismo español en los siglos XVI y XVII. Primera Serie, Madrid, Imprenta de la Revista Española, 1901, p. 74. ",[Doc. 63]
IdI-51,Tra-126,[Doc. 64] Documentación sobre el precio del uso de los corrales de Madrid para representar en 1608.,"Según Davis y Varey, en 1608, cuando la corte regresa de Valladolid a Madrid, los comediantes pasaron de pagar cinco reales a las cofradías de Madrid por cada representación que hacían en sus corrales a pagar seis reales. Apartemente, no habrían nunca vuelto al precio de diez reales por representación característicos de las décadas de 1580 y 1590. ",Madrid,1608,Uso de los corrales,Uso de corrales para representar,6 reales,X,X,"Información ubicada en Davis y Varey (1997, p. 32). Davis y Varey citan el libro de Varey y Norman Shergold: Teatros y comedias en Madrid: 1600-1650. Estudio y documentos, Londres, Tamesis Books, Fuentes para la Historia del Teatro en España III, 1971. Se trataría del documento referido en dicho libro como 2 en la página 50.  ",[Doc. 64]
IdI-52,Tra-127,[Doc. 65] Referencia al costo del agua en los corrales en la obra de teatro Comedia de los náufragos de Leopoldo,"Davis y Varey hacen referencia a un artículo de Jean Canavaggio en el cual este estudioso recuerda que, en la Comedia de los náufragos de Leopoldo, cuando se describe la actividad en los corrales de comedias, se dice que el agua costaba dos maravedís: “dos maravedís para agua y anís”. La referencia sería de 1594. Davis y Varey creen que puede tratarse de Madrid, pero no es seguro. ",¿Madrid?,1594,Venta de bebidas en los corrales,Agua con anís y especias,2 maravedís ,X,X,"Información ubicada en Davis y Varey (1997, p. 32). Davis y Varey citan el artículo de Jean Canavaggio: “Teatro y comediantes en el Siglo de Oro: algunos datos inéditos”, Segismundo, 23-24 [XII, 1-2], 1976, 27-50, p. 50.  ",[Doc. 65]
